AGI	WT-1_count	WT-2_count	#5-1_count	#5-2_count	WT-1_FPKM	WT-2_FPKM	#5-1_FPKM	#5-2_FPKM	WT_mean-FPKM	#5_mean-FPKM	log2 (FC)	P Value	FDR	Name	Annotation
AT2G23160	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23160	F-box family protein
AT2G23170	241	276	184	215	5.459	5.939	3.721	4.451	5.699	4.086	-0.480019589	0.003400279	0.040907405	GH3.3	Auxin-responsive GH3 family protein
AT2G23180	148	124	93	126	3.934	3.131	2.207	3.061	3.5325	2.634	-0.423434215	0.053228605	0.295187717	CYP96A1	cytochrome P450, family 96, subfamily A, polypeptide 1
AT2G23190	2	1	0	0	0.059	0.028	0	0	0.0435	0.001	-5.442943496	0.354417775	0.817686297	CYP81D7	cytochrome P450, family 81, subfamily D, polypeptide 7
AT2G23200	222	286	386	373	4.017	4.915	6.24	6.17	4.466	6.205	0.474447959	0.265356903	0.728036031	AT2G23200	Protein kinase superfamily protein
AT2G23210	59	63	56	66	1.41	1.434	1.191	1.441	1.422	1.316	-0.111761976	0.405303816	0.857366349	AT2G23210	UDP-Glycosyltransferase superfamily protein
AT2G23220	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	CYP81D6	cytochrome P450, family 81, subfamily D, polypeptide 6
AT2G23230	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23230	Terpenoid cyclases/Protein prenyltransferases superfamily protein
AT2G23240	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AtMT4b	Plant EC metallothionein-like protein, family 15
AT2G23250	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	UGT84B2	UDP-glucosyl transferase 84B2
AT2G23260	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	UGT84B1	UDP-glucosyl transferase 84B1
AT2G23270	9	16	15	12	0.684	1.156	1.018	0.834	0.92	0.926	0.009378332	0.801336955	0.966194613	AT2G23270	uncharacterized protein
AT2G23290	199	321	266	351	6.252	9.581	7.46	10.078	7.9165	8.769	0.147549595	0.788265187	0.966194613	MYB70	myb domain protein 70
AT2G23300	41	33	48	35	0.66	0.505	0.69	0.515	0.5825	0.6025	0.048703192	0.72880195	0.959508788	AT2G23300	Leucine-rich repeat protein kinase family protein
AT2G23310	539	603	768	779	22.53	24.189	28.547	30.043	23.3595	29.295	0.326645056	0.549430963	0.935588877	ATRER1C1	Rer1 family protein
AT2G23320	2370	2522	3339	2375	88.55	89.533	111.404	81.098	89.0415	96.251	0.112323633	0.565308328	0.937305832	WRKY15	WRKY DNA-binding protein 15
AT2G23321	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23321	uncharacterized protein
AT2G23330	160	241	324	263	1.708	2.444	3.088	2.566	2.076	2.827	0.445465439	0.426263224	0.87270005	-	-
AT2G23340	290	138	161	99	11.536	5.215	5.717	3.599	8.3755	4.658	-0.846464679	0.015040892	0.123598861	DEAR3	DREB and EAR motif protein 3
AT2G23348	17	14	16	21	0.824	0.644	0.71	0.966	0.734	0.838	0.191170181	0.904890011	0.985295315	AT2G23348	uncharacterized protein
AT2G23350	2353	2536	3779	3623	43.601	44.645	62.513	61.355	44.123	61.934	0.48920074	0.052595194	0.293543715	PAB4	poly(A) binding protein 4
AT2G23360	234	253	232	221	3.447	3.54	3.051	2.975	3.4935	3.013	-0.213472467	0.054548859	0.299895895	AT2G23360	filament-like protein (DUF869)
AT2G23370	166	177	185	241	5.882	5.949	5.793	7.769	5.9155	6.781	0.196997929	0.927202827	0.986425089	AT2G23370	cyclin delta-3
AT2G23380	261	301	418	395	4.476	4.36	6.253	5.922	4.418	6.0875	0.462456449	0.340287382	0.804961616	CLF	SET domain-containing protein
AT2G23390	1066	1131	1262	1342	28.647	28.842	30.218	32.755	28.7445	31.4865	0.131447462	0.543783656	0.933257687	AT2G23390	acyl-CoA
AT2G23400	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23400	Undecaprenyl pyrophosphate synthetase family protein
AT2G23410	0	0	0	1	0	0	0	0.041	0.001	0.0205	4.357552005	0.824680889	0.966194613	CPT	cis-prenyltransferase
AT2G23420	735	714	700	564	16.093	14.857	13.679	11.295	15.475	12.487	-0.309512498	0.006904453	0.069629907	NAPRT2	nicotinate phosphoribosyltransferase 2
AT2G23430	289	265	290	299	11.8	10.279	10.57	11.157	11.0395	10.8635	-0.023185846	0.267227517	0.729168271	ICK1	Cyclin-dependent kinase inhibitor family protein
AT2G23440	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23440	uncharacterized protein
AT2G23445	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23445	uncharacterized protein
AT2G23450	659	804	927	803	11.651	13.327	14.57	12.969	12.489	13.7695	0.140818209	0.607524937	0.952522704	AT2G23450	Protein kinase superfamily protein
AT2G23460	498	617	721	832	7.762	9.136	10.032	11.856	8.449	10.944	0.373287632	0.449094936	0.889065335	XLG1	extra-large G-protein 1
AT2G23470	62	83	172	141	1.655	2.105	4.099	3.432	1.88	3.7655	1.002108783	0.020103547	0.152635607	RUS4	root UVB sensitive protein (Protein of unknown function, DUF647)
AT2G23480	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	-	-
AT2G23490	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	-	-
AT2G23500	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	-	-
AT2G23510	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	SDT	spermidine disinapoyl acyltransferase
AT2G23520	225	263	280	362	3.111	3.454	3.456	4.574	3.2825	4.015	0.290604977	0.806787159	0.966194613	AT2G23520	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
AT2G23530	24	35	44	57	0.578	0.8	0.946	1.254	0.689	1.1	0.674927636	0.391467701	0.847893671	AT2G23530	Zinc-finger domain of monoamine-oxidase A repressor R1
AT2G23540	7	8	24	31	0.213	0.231	0.651	0.86	0.222	0.7555	1.766872079	0.050583051	0.285537567	AT2G23540	GDSL-like Lipase/Acylhydrolase superfamily protein
AT2G23550	2	2	8	6	0.059	0.079	0.325	0.227	0.069	0.276	2	0.320519716	0.788000381	MES6	methyl esterase 6
AT2G23560	30	40	96	99	1.18	1.494	3.37	3.558	1.337	3.464	1.373439465	0.00554089	0.05922624	MES7	methyl esterase 7
AT2G23570	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	MES19	methyl esterase 19
AT2G23580	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	MES4	methyl esterase 4
AT2G23590	108	96	155	161	5.155	4.354	6.605	7.024	4.7545	6.8145	0.519314176	0.344098429	0.809067663	MES8	methyl esterase 8
AT2G23600	3495	4134	4690	4853	147.111	165.052	176.076	186.52	156.0815	181.298	0.216063462	0.929548933	0.986425089	ACL	acetone-cyanohydrin lyase
AT2G23610	1085	1150	1580	1495	40.121	42.864	52.665	51.244	41.4925	51.9545	0.324398128	0.416594523	0.86530939	MES3	methyl esterase 3
AT2G23620	32	35	40	42	1.382	1.436	1.542	1.657	1.409	1.5995	0.182949381	0.927217748	0.986425089	MES1	methyl esterase 1
AT2G23630	0	0	1	5	0	0	0.024	0.125	0.001	0.0745	6.21916852	0.242383863	0.697756223	sks16	SKU5 similar 16
AT2G23640	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	RTNLB13	Reticulan like protein B13
AT2G23660	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	LBD10	LOB domain-containing protein 10
AT2G23670	2271	2565	2706	2683	153.666	164.89	163.458	165.915	159.278	164.6865	0.048175286	0.182938954	0.60809244	YCF37	homolog of Synechocystis YCF37
AT2G23680	153	175	351	198	5.645	5.99	11.616	6.765	5.8175	9.1905	0.659744046	0.225694727	0.674351307	AT2G23680	Cold acclimation protein WCOR413 family
AT2G23690	53	78	60	81	2.376	3.322	2.402	3.319	2.849	2.8605	0.005811723	0.595887525	0.946037724	AT2G23690	HTH-type transcriptional regulator
AT2G23700	126	109	146	138	2.117	1.739	2.189	2.119	1.928	2.154	0.159913198	0.817371721	0.966194613	AT2G23700	Itga6 (Protein of unknown function, DUF547)
AT2G23710	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	-	-
AT2G23720	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	-	-
AT2G23740	515	607	752	742	5.567	6.316	7.311	7.309	5.9415	7.31	0.299044204	0.65283969	0.958433792	SUVR5	histone-lysine N-methyltransferase SUVR5
AT2G23755	37	28	26	24	1.596	1.159	0.99	0.944	1.3775	0.967	-0.510464524	0.214137391	0.657144776	AT2G23755	transmembrane family 220 helix protein
AT2G23760	759	733	802	856	15.219	13.917	14.21	15.713	14.568	14.9615	0.038451996	0.281593178	0.746804684	BLH4	BEL1-like homeodomain 4
AT2G23770	397	546	525	543	7.597	9.926	8.969	9.496	8.7615	9.2325	0.075543472	0.467312311	0.898267424	LYK4	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein
AT2G23780	470	430	428	359	15.227	13.202	12.485	10.615	14.2145	11.55	-0.299470501	0.01419901	0.118214655	AT2G23780	RING/U-box superfamily protein
AT2G23790	303	384	431	489	9.889	11.906	12.557	14.585	10.8975	13.571	0.316529828	0.678243056	0.958433792	AT2G23790	calcium uniporter (DUF607)
AT2G23800	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	GGPS2	geranylgeranyl pyrophosphate synthase 2
AT2G23810	6641	6399	7008	5484	241.543	221.116	227.548	182.291	231.3295	204.9195	-0.174891979	0.023233577	0.168617902	TET8	tetraspanin8
AT2G23820	434	503	606	559	16.63	18.311	20.854	19.612	17.4705	20.233	0.21178935	0.905139611	0.985295315	AT2G23820	Metal-dependent phosphohydrolase
AT2G23830	2	0	0	0	0.115	0	0	0	0.0575	0.001	-5.845490051	0.560911225	0.935995385	AT2G23830	PapD-like superfamily protein
AT2G23834	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23834	uncharacterized protein
AT2G23840	808	875	516	594	28.713	29.541	16.37	19.291	29.127	17.8305	-0.708009956	0.000000163	0.0000115	AT2G23840	HNH endonuclease
AT2G23880	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	-	-
AT2G23890	174	226	479	441	3.968	4.912	9.753	9.14	4.44	9.4465	1.089220222	0.00011018	0.002640102	AT2G23890	HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase
AT2G23900	0	1	0	2	0	0.025	0	0.048	0.0125	0.024	0.941106311	0.865335145	0.975778457	AT2G23900	Pectin lyase-like superfamily protein
AT2G23910	13	41	64	110	0.467	1.392	2.053	3.608	0.9295	2.8305	1.606530153	0.024380382	0.174163373	AT2G23910	NAD(P)-binding Rossmann-fold superfamily protein
AT2G23930	657	757	1080	986	45.746	50.063	67.119	62.659	47.9045	64.889	0.437812748	0.203703421	0.64228008	SNRNP-G	Putative small nuclear ribonucleoprotein G
AT2G23940	258	277	352	330	14.915	15.221	17.747	17.968	15.068	17.8575	0.245042183	0.95515078	0.990439199	AT2G23940	transmembrane protein (DUF788)
AT2G23945	0	4	1	6	0	0.121	0.028	0.174	0.0605	0.101	0.739348245	0.812577837	0.966194613	AT2G23945	Eukaryotic aspartyl protease family protein
AT2G23950	155	172	230	244	2.714	2.861	3.594	3.904	2.7875	3.749	0.427534021	0.42270161	0.870153204	AT2G23950	Leucine-rich repeat protein kinase family protein
AT2G23960	1	7	1	0	0.046	0.308	0.041	0	0.177	0.0205	-3.110053545	0.180626506	0.603848445	AT2G23960	Class I glutamine amidotransferase-like superfamily protein
AT2G23970	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23970	Class I glutamine amidotransferase-like superfamily protein
AT2G23980	632	717	1015	976	11.632	12.308	16.534	16.498	11.97	16.516	0.464441171	0.164717787	0.577047133	CNGC6	cyclic nucleotide-gated channel 6
AT2G23985	194	152	233	211	10.199	7.358	10.785	10.426	8.7785	10.6055	0.272766289	0.965043985	0.992023576	AT2G23985	uncharacterized protein
AT2G23987	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G23987	uncharacterized protein
AT2G23990	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	ENODL11	early nodulin-like protein 11
AT2G24000	1	0	0	0	0.04	0	0	0	0.02	0.001	-4.321928095	0.713849304	0.958433792	scpl22	serine carboxypeptidase-like 22
AT2G24010	10	15	3	6	0.336	0.484	0.092	0.174	0.41	0.133	-1.624197664	0.091820126	0.413582056	scpl23	serine carboxypeptidase-like 23
AT2G24020	1921	2268	2504	2377	100.623	112.862	117.095	113.787	106.7425	115.441	0.113020996	0.423189378	0.870153204	AT2G24020	Putative BCR, YbaB family COG0718
AT2G24030	18	13	22	21	0.529	0.384	0.596	0.576	0.4565	0.586	0.360285804	0.863343085	0.975778457	AT2G24030	zinc ion binding / nucleic acid binding protein
AT2G24040	115	100	137	126	5.31	4.387	5.647	5.317	4.8485	5.482	0.177163844	0.86647143	0.975778457	AT2G24040	Low temperature and salt responsive protein family
AT2G24050	504	567	865	869	8.757	9.36	13.418	13.8	9.0585	13.609	0.587216982	0.032570906	0.21317217	eIFiso4G2	MIF4G domain-containing protein / MA3 domain-containing protein
AT2G24060	1233	1481	2290	2282	39.225	44.761	65.036	66.347	41.993	65.6915	0.64555785	0.004667257	0.051872072	AT2G24060	Translation initiation factor 3 protein
